I.Site,II.DeltaFFM_DS_Dur_WS,II.DeltaFFM_DS_Mag_50,II.DeltaFFM_FA_Mag,II.DeltaFFM_Peak_10,II.DeltaFFM_Peak_2,II.DeltaFFM_SP_Dur,II.DeltaFFM_SP_Mag,II.DeltaFFM_SP_Tim,II.DeltaFFM_Wet_BFL_Mag_50,III.Threshold,IV.Prob_ASCI_DS_Dur_WS,IV.Prob_ASCI_DS_Mag_50,IV.Prob_ASCI_Peak_2,IV.Prob_ASCI_SP_Dur,IV.Prob_ASCI_SP_Mag,IV.Prob_ASCI_Wet_BFL_Mag_50,IV.Prob_CSCI_DS_Dur_WS,IV.Prob_CSCI_DS_Mag_50,IV.Prob_CSCI_FA_Mag,IV.Prob_CSCI_Peak_10,IV.Prob_CSCI_SP_Tim,IV.Prob_CSCI_Wet_BFL_Mag_50,V.Result_ASCI_DS_Dur_WS,V.Result_ASCI_DS_Mag_50,V.Result_ASCI_Peak_2,V.Result_ASCI_SP_Dur,V.Result_ASCI_SP_Mag,V.Result_ASCI_Wet_BFL_Mag_50,V.Result_CSCI_DS_Dur_WS,V.Result_CSCI_DS_Mag_50,V.Result_CSCI_FA_Mag,V.Result_CSCI_Peak_10,V.Result_CSCI_SP_Tim,V.Result_CSCI_Wet_BFL_Mag_50,Column Name ,Lookup
101010,19,0.046932044,23.25645998,59.66226,36.7527,-42.5,26.3961,0,0.62145,0.7,0.805283803,0.438437197,NA,0.325809755,0.398148323,0.467954575,0.735526255,0.739853198,0.538263347,NA,0.666202388,0.649831337,Current Delta FFM is within limits. Proposed project should not increase duration by more than 13 days or decrease duration by more than 72 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 11 cfs or decrease by more than 5 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 18  days to 60 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 457 cfs or decrease by more than 201 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 31 cfs or decrease by more than 84 cfs.,Current Delta FFM is within limits. Proposed project should not increase duration by more than 2 days or decrease duration by more than 59 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 3 cfs or decrease by more than 4 cfs.,Current Delta FFM is augmented. Proposed project can decrease by 0.21 to 83 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 9 days later or by more than 32 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 20 cfs or decrease by more than 99 cfs.,I.Site,Sub Basin SiteID
101010,19,0.046932044,23.25645998,59.66226,36.7527,-42.5,26.3961,0,0.62145,0.9,0.805283803,0.438437197,NA,0.325809755,0.398148323,0.467954575,0.735526255,0.739853198,0.538263347,NA,0.666202388,0.649831337,Current Delta FFM is augmented (long). Proposed project can decrease duration by 8 days to 36 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 3 cfs or decrease by more than 2 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 35  days to 49 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 133 cfs or decrease by more than 85 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 10 cfs or decrease by more than 23 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 11 days to 33 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 1 cfs or decrease by more than 2 cfs.,Current Delta FFM is augmented. Proposed project can decrease by 14 to 43 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 3 days later or by more than 11 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 6 cfs or decrease by more than 33 cfs.,II.DeltaFFM_DS_Dur_WS,Median Delta FFM DS_Dur_WS
101010,19,0.046932044,23.25645998,59.66226,36.7527,-42.5,26.3961,0,0.62145,0.99,0.805283803,0.438437197,NA,0.325809755,0.398148323,0.467954575,0.735526255,0.739853198,0.538263347,NA,0.666202388,0.649831337,Current Delta FFM is augmented (long). Proposed project can decrease duration by 18 days to 21 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.34 cfs or decrease by more than 0.63 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 41  days to 43 days.,Current Delta FFM is augmented. Proposed project can decrease by 10 to 39 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.43 cfs or decrease by more than 3 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 18 days to 21 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.13 cfs or decrease by more than 0.55 cfs.,Current Delta FFM is augmented. Proposed project can decrease by 21 to 26 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 0.31 days later or by more than 2 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.13 cfs or decrease by more than 4 cfs.,II.DeltaFFM_DS_Mag_50,Median Delta FFM DS_Mag_50
101011,20.5,-0.004090812,NA,44.57912,22.9862,-29.5,6.0267,0,0.4668,0.7,0.789626403,0.385989217,NA,0.508363541,0.399633686,0.468630611,0.712028258,0.754230717,NA,NA,0.666202388,0.651235671,Current Delta FFM is within limits. Proposed project should not increase duration by more than 12 days or decrease duration by more than 73 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 11 cfs or decrease by more than 4 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 5  days to 47 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 478 cfs or decrease by more than 180 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 32 cfs or decrease by more than 84 cfs.,Current Delta FFM is within limits. Proposed project should not increase duration by more than 0.87 days or decrease duration by more than 61 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 3 cfs or decrease by more than 4 cfs.,A probability of NA means no median delta FFM value is available.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 9 days later or by more than 32 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 20 cfs or decrease by more than 99 cfs.,II.DeltaFFM_FA_Mag,Median Delta FFM FA_Mag
101011,20.5,-0.004090812,NA,44.57912,22.9862,-29.5,6.0267,0,0.4668,0.9,0.789626403,0.385989217,NA,0.508363541,0.399633686,0.468630611,0.712028258,0.754230717,NA,NA,0.666202388,0.651235671,Current Delta FFM is augmented (long). Proposed project can decrease duration by 10 days to 38 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 4 cfs or decrease by more than 2 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 22  days to 36 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 153 cfs or decrease by more than 64 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 10 cfs or decrease by more than 23 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 13 days to 34 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 1 cfs or decrease by more than 2 cfs.,A probability of NA means no median delta FFM value is available.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 3 days later or by more than 11 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 7 cfs or decrease by more than 32 cfs.,II.DeltaFFM_Peak_10,Median Delta FFM Peak_10
101011,20.5,-0.004090812,NA,44.57912,22.9862,-29.5,6.0267,0,0.4668,0.99,0.789626403,0.385989217,NA,0.508363541,0.399633686,0.468630611,0.712028258,0.754230717,NA,NA,0.666202388,0.651235671,Current Delta FFM is augmented (long). Proposed project can decrease duration by 19 days to 23 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.39 cfs or decrease by more than 0.58 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 28  days to 30 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 10 cfs or decrease by more than 19 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.59 cfs or decrease by more than 3 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 20 days to 22 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.18 cfs or decrease by more than 0.5 cfs.,A probability of NA means no median delta FFM value is available.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 0.31 days later or by more than 2 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.29 cfs or decrease by more than 4 cfs.,II.DeltaFFM_Peak_2,Median Delta FFM Peak_2
101012,29,-0.154771582,6.427698433,34.67242,17.7173,-41,5.65485,0,0.18363461,0.7,0.701202208,0.381723992,NA,0.345487595,0.399660819,0.469868734,0.57800015,0.746495353,0.723305406,NA,0.666202388,0.653800209,Current Delta FFM is within limits. Proposed project should not increase duration by more than 3 days or decrease duration by more than 82 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 11 cfs or decrease by more than 4 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 17  days to 59 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 478 cfs or decrease by more than 180 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 32 cfs or decrease by more than 84 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 8 days to 69 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 4 cfs or decrease by more than 4 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 17 cfs or decrease by more than 67 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 9 days later or by more than 32 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 20 cfs or decrease by more than 98 cfs.,II.DeltaFFM_SP_Dur,Median Delta FFM SP_Dur
101012,29,-0.154771582,6.427698433,34.67242,17.7173,-41,5.65485,0,0.18363461,0.9,0.701202208,0.381723992,NA,0.345487595,0.399660819,0.469868734,0.57800015,0.746495353,0.723305406,NA,0.666202388,0.653800209,Current Delta FFM is augmented (long). Proposed project can decrease duration by 18 days to 46 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 4 cfs or decrease by more than 2 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 33  days to 47 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 154 cfs or decrease by more than 64 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 10 cfs or decrease by more than 23 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 21 days to 43 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 1 cfs or decrease by more than 1 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 3 cfs or decrease by more than 26 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 3 days later or by more than 11 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 7 cfs or decrease by more than 32 cfs.,II.DeltaFFM_SP_Mag,Median Delta FFM SP_Mag
101012,29,-0.154771582,6.427698433,34.67242,17.7173,-41,5.65485,0,0.18363461,0.99,0.701202208,0.381723992,NA,0.345487595,0.399660819,0.469868734,0.57800015,0.746495353,0.723305406,NA,0.666202388,0.653800209,Current Delta FFM is augmented (long). Proposed project can decrease duration by 28 days to 31 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.54 cfs or decrease by more than 0.43 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 40  days to 42 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 10 cfs or decrease by more than 18 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.87 cfs or decrease by more than 3 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 28 days to 31 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.33 cfs or decrease by more than 0.35 cfs.,Current Delta FFM is augmented. Proposed project can decrease by 5 to 9 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is within limits. Proposed project should not change timing by more than 0.31 days later or by more than 2 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 0.57 cfs or decrease by more than 3 cfs.,II.DeltaFFM_SP_Tim,Median Delta FFM SP_Tim
101020,104,-0.016914651,NA,15.74736,9.8958,-24.5,3.804,15,-0.0211,0.7,0.11219066,0.385625528,NA,0.585797498,0.399795881,0.252091635,0.021950789,0.753578627,NA,NA,0.328372946,0.367011763,Current Delta FFM is augmented (long). Proposed project can decrease duration by 72 days to 157 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 11 cfs or decrease by more than 4 cfs.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is depleted (short). Proposed project can increase duration by 0.12  days to 42 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 480 cfs or decrease by more than 178 cfs.,Current Delta FFM is within limits. Proposed project should not increase by more than 32 cfs or decrease by more than 84 cfs.,Current Delta FFM is augmented (long). Proposed project can decrease duration by 83 days to 144 days.,Current Delta FFM is within limits. Proposed project should not increase by more than 3 cfs or decrease by more than 4 cfs.,A probability of NA means no median delta FFM value is available.,A probability of NA indicates augmented peak metric.  Not enough data for flow ecology curve peak augmentation.,Current Delta FFM is augmented (late). Proposed project can change timing by 6 to 47 days earlier.,Current Delta FFM is within limits. Proposed project should not increase by more than 20 cfs or decrease by more than 98 cfs.,II.DeltaFFM_Wet_BFL_Mag_50,Median Delta FFM Wet_BFL_Mag_50
