"","metric","Threshold70","Threshold90","Threshold99","n","Type","Biol","Bio_endpoint","Bio_threshold","Hydro_endpoint"
"1","H_ASCI_DS_Dur_WS_0.86_Positive",32.0321135785974,10.8065030668284,1.10266059701743,111,"Positive","ASCI","H_ASCI",0.86,"DS_Dur_WS"
"2","H_ASCI_SP_Dur_0.86_Positive",17.5584564400731,6.0567934173048,0.622804541293257,114,"Positive","ASCI","H_ASCI",0.86,"SP_Dur"
"3","H_ASCI_SP_Tim_0.86_Positive",10.1105055569957,3.29149010208396,0.322737044908772,256,"Positive","ASCI","H_ASCI",0.86,"SP_Tim"
"4","H_ASCI_DS_Dur_WS_0.86_Negative",-52.639523143972,-17.4485868583565,-2.1777196713081,195,"Negative","ASCI","H_ASCI",0.86,"DS_Dur_WS"
"5","H_ASCI_SP_Dur_0.86_Negative",-24.381011600875,-7.97778170345294,-1.23151339696627,225,"Negative","ASCI","H_ASCI",0.86,"SP_Dur"
"6","H_ASCI_SP_Tim_0.86_Negative",-32.4721268934846,-10.6312762293429,-1.49477956155049,84,"Negative","ASCI","H_ASCI",0.86,"SP_Tim"
"7","H_ASCI_DS_Mag_50_0.86_Positive",10.9759457748749,3.52765188311036,0.388193656232124,240,"Positive","ASCI","H_ASCI",0.86,"DS_Mag_50"
"8","H_ASCI_FA_Mag_0.86_Positive",245.669463083764,80.5975522712965,8.87410764245216,250,"Positive","ASCI","H_ASCI",0.86,"FA_Mag"
"9","H_ASCI_Peak_10_0.86_Positive",NA,NA,NA,131,"Positive","ASCI","H_ASCI",0.86,"Peak_10"
"10","H_ASCI_Peak_2_0.86_Positive",NA,NA,NA,54,"Positive","ASCI","H_ASCI",0.86,"Peak_2"
"11","H_ASCI_SP_Mag_0.86_Positive",483.707918251024,159.184097960753,15.9384167423215,232,"Positive","ASCI","H_ASCI",0.86,"SP_Mag"
"12","H_ASCI_Wet_BFL_Mag_50_0.86_Positive",31.9773861800458,10.3284594807663,1.05527065559881,204,"Positive","ASCI","H_ASCI",0.86,"Wet_BFL_Mag_50"
"13","H_ASCI_DS_Mag_50_0.86_Negative",-4.49969211400143,-1.7328674616023,-0.585310710313283,35,"Negative","ASCI","H_ASCI",0.86,"DS_Mag_50"
"14","H_ASCI_FA_Mag_0.86_Negative",-1.40186417643384,-0.591128777765477,-0.358562867637452,25,"Negative","ASCI","H_ASCI",0.86,"FA_Mag"
"15","H_ASCI_Peak_10_0.86_Negative",-1432.5241142132,-451.097949925214,-45.6698926967235,144,"Negative","ASCI","H_ASCI",0.86,"Peak_10"
"16","H_ASCI_Peak_2_0.86_Negative",-324.18568719672,-108.751150547173,-15.3653162376427,221,"Negative","ASCI","H_ASCI",0.86,"Peak_2"
"17","H_ASCI_SP_Mag_0.86_Negative",-174.187295619607,-58.3347690705048,-12.7934912110825,43,"Negative","ASCI","H_ASCI",0.86,"SP_Mag"
"18","H_ASCI_Wet_BFL_Mag_50_0.86_Negative",-83.7084112532826,-22.7622930659072,-2.52923788867653,71,"Negative","ASCI","H_ASCI",0.86,"Wet_BFL_Mag_50"
